0.1;В;56;Адміністрація;Адміністрація;6012;;6012
1.1.;В;388;Група радників.;Група радників;6012;;4277
1.2.;В;51;Режимно-секретний відділ;Режимно-секретний відділ;6012;;6378
1.3.;В;79;Служба охорони праці;Служба охорони праці;6012;;3521
1.4.;В;958;Відділ закупівель;Відділ закупівель;6012;;6368
1.5.;Д;688;Юридичний департамент;Юридичний департамент;6012;;5354
1.5.1.;В;426;Відділ договірно-правової роботи;Юридичний департамент, Відділ договірно-правової роботи;6012;688;6541
1.5.2.;В;443;Відділ правового забезпечення та судової роботи;Юридичний департамент, Відділ правового забезпечення та судової роботи;6012;688;5346
1.6.;Д;849;Департамент безпеки;Департамент безпеки;6012;;6397
1.6.1.;В;850;Відділ внутрішньої охорони;Департамент безпеки, Служба охоронної діяльності, Відділ внутрішньої охорони;6012;849;
1.6.1.1.;Г;919;Група технічних засобів охорони;Департамент безпеки, Служба охоронної діяльності, Відділ внутрішньої охорони, Група технічних засобів охорони;6012;850;6554
1.6.2.;В;823;Служба охоронної діяльності;Департамент безпеки, Служба охоронної діяльності;6012;849;6210
1.6.2.1.;Г;824;Відділ підсилення охорони;Департамент безпеки, Служба охоронної діяльності, Відділ підсилення охорони;6012;823;6262
1.6.3.;В;851;Відділ внутрішньої безпеки;Департамент безпеки, Відділ внутрішньої безпеки;6012;849;6429
1.7.;Д;641;Апарат директора;Апарат  директора, Апарат директора;6052;;6052
1.7.1.;Д;842;Департамент кадрів та документообігу;Апарат  директора, Департамент кадрів та документообігу;6052;641;
1.7.1.1.;В;43;Відділ кадрів;Апарат  директора, Департамент кадрів та документообігу, Відділ кадрів;6052;842;5356
1.7.1.2.;В;642;Канцелярія;Апарат  директора, Департамент кадрів та документообігу, Канцелярія;6052;842;5462
1.7.1.3.;В;73;Відділ перекладів та технічної документації;Апарат  директора, Департамент кадрів та документообігу, Відділ перекладів та технічної документації;6052;842;68
1.7.2.;В;922;Відділ маркетингу та зовнішнього ціноутворення;Апарат  директора, Відділ маркетингу та зовнішнього ціноутворення;6052;641;6359
1.7.4.;В;847;Відділ інформ. забезпечення та виставкової діяльн;Апарат  директора, Відділ інформ. забезпечення та виставкової діяльн;6052;641;5327
1.7.5.;В;741;Адміністративно-господарський відділ;Апарат  директора, Адміністративно-господарський відділ;6052;641;4313
1.7.5.1.;Г;890;Медичний центр;Апарат  директора, Адміністративно-господарський відділ, Медичний центр;6052;741;3768
1.7.5.2.1.;;755;Енергетична дільниця №1;Апарат  директора, Адміністративно-господарський відділ, Енергетична служба, Енергетична дільниця №1;6052;741;
1.7.5.2.2.;;756;Енергетична дільниця №2;Апарат  директора, Адміністративно-господарський відділ, Енергетична служба, Енергетична дільниця №2;6052;753;
1.7.5.3.;Г;217;Господарська група;Апарат  директора, Адміністративно-господарський відділ, Господарська група;6052;753;5986
1.7.6.;В;954;Служба внутрішньофірмового експортного контролю;Апарат  директора, Служба внутрішньофірмового експортного контролю;6052;641;134
1.7.6.1.;Г;956;Відділ експортного контролю;Апарат  директора, Служба внутрішньофірмового експортного контролю, Відділ експортного контролю;6052;641;6353
1.7.6.2.;Г;957;Відділ логістичного забезпечення;Апарат  директора, Служба внутрішньофірмового експортного контролю, Відділ логістичного забезпечення;6052;954;2609
1.8.;Д;959;Фахівець з питань мобілізаційної роботи;Фахівець з питань мобілізаційної роботи;6012;954;6693
2.1.;КД;924;Комерційний департамент № 1;Комерційний департамент № 1;6013;;6089
2.1.1.;КВ;926;Комерційний відділ № 1;Комерційний департамент № 1, Комерційний відділ № 1;6013;924;6152
2.1.2.;КВ;927;Комерційний відділ № 2;Комерційний департамент № 1, Комерційний відділ № 2;6013;924;
2.1.3.;КВ;928;Комерційний відділ № 3;Комерційний департамент № 1, Комерційний відділ № 3;6013;924;5484
2.2.;КВ;668;Представництво в АРЄ;Представництво в АРЄ;6013;;116
3.1.;Д;737;Департамент економіки та фінансів;Департамент економіки та фінансів;6014;;153
3.1.1.;В;383;Фінансово-економічний відділ;Департамент економіки та фінансів, Фінансово-економічний відділ;6014;737;136
3.1.2.;В;658;Відділ супроводження облікових систем;Департамент економіки та фінансів, Відділ супроводження облікових систем;6014;737;3122
3.1.3.;В;929;Відділ інформаційних технологій;Департамент економіки та фінансів, Відділ інформаційних технологій;6014;737;3210
3.1.4.;В;930;1Відділ інформаційних систем;Департамент економіки та фінансів, Відділ інформаційних систем;6014;737;6425
3.2.;В;38;Бухгалтерія;Бухгалтерія;6014;;4407
3.3.;В;125;Центральний склад;Центральний склад;6014;;173
3.4.;В;54;Транспортний відділ;Транспортний відділ;6014;;6016
4.1.;КД;932;Комерційний департамент № 2;Комерційний департамент № 2;3231;;6088
4.1.2.;КВ;940;Комерційний відділ № 8;Комерційний департамент № 2, Комерційний відділ № 8;3231;932;4412
4.1.2.1.;КГ;941;Виробнича група комерційного відділу № 8;Комерційний департамент № 2, Комерційний відділ № 8, Виробнича група комерційного відділу № 8;3231;940;6481
4.1.3.;КВ;752;Відділ утилізації боєприпасів та демілітаризац ОВТ;Комерційний департамент № 2, Відділ утилізації боєпрпасів та деміліт.ОВТ, Відділ утилізації боєприпасів та демілітаризац ОВТ;3231;932;3256
4.1.4.;КВ;231;"Центр ""УОС-ДМ""";"Комерційний департамент № 2, Центр ""УОС-ДМ""";3231;932;5099
4.1.4.1.;КГ;273;Виробництво;"Комерційний департамент № 2, Центр ""УОС-ДМ"" __, Виробництво";3231;231;4766
4.1.4.10.;КГ;270;Енергомеханічна служба;"Комерційний департамент № 2, Центр ""УОС-ДМ"" __, Енергомеханічна служба";3231;932;
4.1.4.11.;КГ;271;Транспортна служба;"Комерційний департамент № 2, Центр ""УОС-ДМ"" __, Транспортна служба";3231;231;5211
4.1.4.12.;КГ;240;Контрольно-перепускний пункт;"Комерційний департамент № 2, Центр ""УОС-ДМ"" __, Контрольно-перепускний пункт";3231;231;
4.1.4.13.;КГ;494;Диспетчерська служба;"Комерційний департамент № 2, Центр ""УОС-ДМ"" __, Диспетчерська служба";3231;231;
4.1.4.14.;КГ;291;Дільниця утил. боєпр, що містять тротил та гексог.;"Комерційний департамент № 2, Центр ""УОС-ДМ"" __, Дільниця утил. боєпр, що містять тротил та гексог.";3231;231;
4.1.4.2.;КГ;293;Дільниця розпатронування пострілів;"Комерційний департамент № 2, Центр ""УОС-ДМ"" __, Дільниця розпатронування пострілів";3231;231;
4.1.4.3.;КГ;294;Дільниця утилізації метальних зарядів;"Комерційний департамент № 2, Центр ""УОС-ДМ"" __, Дільниця утилізації метальних зарядів";3231;231;
4.1.4.4.;КГ;292;Дільниця утилізації спеціальних боєприпасів;"Комерційний департамент № 2, Центр ""УОС-ДМ"" __, Дільниця утилізації спеціальних боєприпасів";3231;231;
4.1.4.5.;КГ;277;Дільниця утил. боєпр. малого калібру;"Комерційний департамент № 2, Центр ""УОС-ДМ"" __, Дільниця утил. боєпр. малого калібру";3231;231;
4.1.4.7.;КГ;295;Група вантажників;"Комерційний департамент № 2, Центр ""УОС-ДМ"" __, Група вантажників";3231;231;
4.1.4.9.;КГ;269;Складське господарство;"Комерційний департамент № 2, Центр ""УОС-ДМ"" __, Складське господарство";3231;231;
4.2.;КД;627;Центр гуманітарного розмінування;Центр гуманітарного розмінування;3231;;2926
4.2.1.;КВ;960;Сектор спеціальної підготовки;Центр гуманітарного розмінування, Сектор спеціальної підготовки;3231;627;6557
4.2.2.;КВ;961;Сектор забезпечення виконання проектів;Центр гуманітарного розмінування, Сектор забезпечення виконання проектів;3231;627;6352
4.2.3.;КВ;891;Кінологічна група;Центр гуманітарного розмінування, Кінологічна група;3231;627;6660
5.1.;КД;723;Виробничий департамент;Виробничий департамент;2122;;3786
5.1.1.;КД;249;Центр озброєння і військової техніки;Виробничий департамент, Центр озброєння і військової техніки;2122;723;3786
5.1.1.1.;КВ;366;Виробничий відділ;Виробничий департамент, Центр озброєння і військової техніки_, Виробничий відділ;2122;249;3578
5.1.1.1.1.;К;685;група по роботі з радіотехнічними системами;Виробничий департамент, Центр озброєння і військової техніки_, Виробничий відділ, група по роботі з радіотехнічними системами;2122;249;6182
5.1.1.11;КГ;952;Дільниця з ремонту засобів РЛС;Виробничий департамент, Центр озброєння і військової техніки_, Дільниця з ремонту засобів РЛС;2122;249;
5.1.1.11.;КГ;920;Дільниця з розробки та виготовлення НВЧ приладів;Виробничий департамент, Центр озброєння і військової техніки_, Дільниця з розробки та виготовлення НВЧ приладів;2122;249;6419
5.1.1.2.;КВ;252;Відділ матер.-технічного забезпечення (ОВТ);Виробничий департамент, Центр озброєння і військової техніки_, Відділ матер.-технічного забезпечення (ОВТ);2122;249;
5.1.1.3.;КВ;253;Конструкторсько-технологічне бюро (ОВТ);Виробничий департамент, Центр озброєння і військової техніки_, Конструкторсько-технологічне бюро (ОВТ);2122;249;3581
5.1.1.4.;КГ;255;Дільниця ремонту засобів ППО (ОВТ);Виробничий департамент, Центр озброєння і військової техніки_, Дільниця ремонту засобів ППО (ОВТ);2122;249;247
5.1.1.5.;КГ;256;Дільниця №1 передпрод.підготовки ОВТ;Виробничий департамент, Центр озброєння і військової техніки_, Дільниця №1 передпрод.підготовки ОВТ;2122;249;3036
5.1.1.6.;КГ;257;Дільниця №2 передпрод.підготовки ОВТ;Виробничий департамент, Центр озброєння і військової техніки_, Дільниця №2 передпрод.підготовки ОВТ;2122;249;3671
5.1.1.7.;КГ;869;Дільниця № 3 передпродажної підготовки ОВТ;Виробничий департамент, Центр озброєння і військової техніки_, Дільниця № 3 передпродажної підготовки ОВТ;2122;249;3905
5.1.1.8.;КГ;340;Дільниця по ремонту засобів зв'язку;Виробничий департамент, Центр озброєння і військової техніки_, Дільниця по ремонту засобів зв'язку;2122;249;4904
5.1.1.9.;КГ;579;Дільниця по ремонту виробу БУК М-1;Виробничий департамент, Центр озброєння і військової техніки_, Дільниця по ремонту виробу БУК М-1;2122;249;5878
5.1.4.;КВ;877;Комерційний відділ № 12;Виробничий департамент, Комерційний відділ № 12;2122;723;4952
5.1.5.;КВ;878;Комерційний відділ № 13;Виробничий департамент, Комерційний відділ № 13;2122;723;4547
5.1.6.;КВ;947;Комерційнийвідділ № 14;Виробничий департамент, Комерційний відділ № 14, Комерційнийвідділ № 14;2122;723;4387
5.1.7.;В;724;Навчальний відділ;Виробничий департамент, Навчальний відділ;2122;723;5572
5.3.;КВ;313;Відділ спеціальної техніки та захисту інформації;Відділ спеціальної техніки та захисту_інформації, Відділ спеціальної техніки та захисту інформації;2122;;2989
5.4.;КВ;66;Представництво в Туркменістані;Представництво в Туркменістані;2122;;4952
5.5.;КВ;835;Виробничо-випробувальний комплекс;Виробничо-випробувальний комплекс;2122;;5205
5.5.1.;КГ;870;Адміністративно-транспортне відділення ВВК;Виробничо-випробувальний комплекс, Адміністративно-транспортне відділення ВВК;2122;835;
5.5.2.;КГ;834;Дільниця технічного обслуговування та ремонту сз;Виробничо-випробувальний комплекс, Дільниця технічного обслуговування та ремонту сз;2122;835;
5.5.3.;КГ;871;Відділення режиму та охорони ВВК;Виробничо-випробувальний комплекс, Відділення режиму та охорони ВВК;2122;835;
6.1.;КД;788;Комерційний департамент № 3;Комерційний дераптамент № 3, Комерційний департамент № 3;6360;;5446
6.1.2.;КВ;934;Комерційний відділ № 4;Комерційний дераптамент № 3, Комерційний відділ № 4;6360;788;6115
6.1.3.;КВ;950;Комерційний відділ № 11;Комерційний дераптамент № 3, Комерційний відділ № 11;6360;788;5885
6.1.4.;КВ;936;Комерційний відділ № 5;Комерційний дераптамент № 3, Комерційний відділ № 5;6360;788;4896
6.1.5.;КВ;937;Комерційний відділ № 7;Комерційний дераптамент № 3, Комерційний відділ № 7;6360;788;5010
6.3.;КВ;911;Комерційний відділ № 10;Комерційний відділ № 10;6360;;6615
;;55;Трудова угода;_Старі підрозділи (не використовувати), Трудова угода;;;
;КВ;46;Експортно-імпортний відділ;_Старі підрозділи (не використовувати), _До 10.04.2008, Експортно-імпортний відділ;17;;84
